segment,name,url,contact_page,fit_rationale,suggested_offer,stage,source_url,notes
"E — Repricers","BQool","https://www.bqool.com/","https://www.bqool.com/partners/","Adjacent-detect. AI Amazon repricer competing on price optimization, not policy compliance — no reason to touch appeals, and a published partner ecosystem to plug into.","referral fee","identified","https://www.bqool.com/partners/","research/partners.md Segment E row 21. Formal partner page exists — apply through their own program rather than cold email, per partners.md compliance note 3."
"E — Repricers","Aura","https://goaura.com/","","Adjacent-detect. AI Amazon repricer.","referral fee","identified","https://goaura.com/","research/partners.md Segment E row 22. Contact route is a site form; exact URL not captured."
"E — Repricers","Informed Repricer","https://www.informedrepricer.com/","","Adjacent-detect. Amazon and Walmart repricer — the dual-marketplace coverage matches Clausewright's own two-marketplace scope exactly.","referral fee","identified","https://www.informedrepricer.com/","research/partners.md Segment E row 23. 40,000+ sellers and 15+ years are self-published figures — do not repeat them as verified. Best Walmart-relevant fit in this segment for the v1.1 window."
"E — Repricers","Seller Snap","https://sellersnap.io/","https://sellersnap.io/partner-apply/","Adjacent-detect. Game-theory Amazon repricer that actively runs a named partner program and solicits partnership ideas.","referral fee","identified","https://sellersnap.io/partner-apply/","research/partners.md Segment E row 24. Highest-readiness row in the segment — a published partner program replaces the cold-email step. REVIEW CORRECTION: the page is live and carries a ""Become a Partner"" section, but re-fetch found NO application form or submission field on it. Confirm the actual submission mechanism before drafting; do not assume a free-text application field exists."
"F — PPC tools & agencies","Seller Labs","https://www.sellerlabs.com/","https://www.sellerlabs.com/contact/","Adjacent-detect. Amazon PPC automation and review/feedback automation — they own the ad account that goes dark alongside the listing.","content collab; referral fee","identified","https://www.sellerlabs.com/","research/partners.md Segment F row 25."
"F — PPC tools & agencies","Ad Badger","https://www.adbadger.com/","","Upstream. Amazon PPC management agency and software whose agency clients map onto the bleeding mid-market segment; also publishes a podcast and a newsletter.","content collab","identified","https://www.adbadger.com/","research/partners.md Segment F row 26. One organization, three surfaces in this file (agency, podcast, newsletter) — do not run three separate approaches. Contact route is a site form; exact URL not captured."
"G — Reimbursement / FBA auditing","GETIDA","https://getida.com/","https://getida.com/contact-us/","Upstream. FBA reimbursement auditing and claim filing — already inside the seller's Seller Central account for an adjacent problem, with the same moment-of-panic proximity as bookkeeping.","referral fee","identified","https://getida.com/","research/partners.md Segment G row 27. Contact page and ""Global Leader in FBA Auditing & Reimbursements"" framing verified on re-fetch. Their contingency-fee model is culturally close to Clausewright's own pricing logic, which should make the fee conversation short — but REVIEW CORRECTION: the 25%-of-recovered-funds figure was not present on the fetched page and stays unverified. Do not repeat it in any draft."
"G — Reimbursement / FBA auditing","Refunds Manager","https://refundsmanager.com/","","Upstream. FBA reimbursement auditing on a contingency-fee model; same in-account proximity as GETIDA.","referral fee","identified","https://refundsmanager.com/","research/partners.md Segment G row 28. The 4.9/5 Trustpilot figure is self-reported and unverified — do not repeat it in any draft. Contact via site; exact URL not captured."
"H — Prep centres & 3PLs","AMZ Prep","https://amzprep.com/","https://amzprep.com/contact-us/","Downstream. Tech-enabled 3PL and FBA prep — a suspension halts inbound shipments they are mid-processing, giving them a direct operational stake in fast reinstatement.","bundle","identified","https://amzprep.com/","research/partners.md Segment H row 29. 50+ warehouses across US, Canada, UK and Europe is self-published. Natural bundle surface is their client onboarding flow."
"H — Prep centres & 3PLs","ShipBob","https://www.shipbob.com/","https://www.shipbob.com/contact/","Downstream. 3PL with Amazon FBA prep support — labeling, packaging, inbound shipment prep — all of which stalls when an account is deactivated.","bundle","identified","https://www.shipbob.com/","research/partners.md Segment H row 30. Large organization; expect a formal partnerships process rather than a founder-to-founder conversation."
"H — Prep centres & 3PLs","Red Stag Fulfillment","https://redstagfulfillment.com/","https://redstagfulfillment.com/contact/","Downstream. 3PL for oversized, heavy and high-value goods that already publishes Amazon 3PL comparison content — an existing content operation to co-produce into.","content collab","identified","https://redstagfulfillment.com/","research/partners.md Segment H row 31. Content collab is the natural first ask because the publishing habit already exists on their side."
"H — Prep centres & 3PLs","InventoryLab","https://inventorylab.com/","","Downstream. FBA listing, shipment and inventory-cost-tracking software used across the seller base; a deactivation breaks the workflow their product sits in.","content collab; referral fee","identified","https://inventorylab.com/","research/partners.md Segment H row 32. Part of Threecolts — contact route runs through the Threecolts site; exact URL not captured. Verify the correct business contact before drafting."
"I — Seller newsletters","Marketplace Pulse","https://www.marketplacepulse.com/","https://www.marketplacepulse.com/subscribe","Upstream, informational and high trust. Marketplace industry-news and data publication whose editorial format suits a data-driven guest piece far better than an ad buy.","content collab","identified","https://www.marketplacepulse.com/","research/partners.md Segment I row 33. Their own site cites WSJ, NYT, Bloomberg and CNBC pickup. Pitch data, not product — an ad-style approach is the likeliest way to lose this one."
"I — Seller newsletters","Seller Bites","https://sellerbites.com/","","Upstream. Twice-weekly Amazon FBA news newsletter.","content collab; sponsorship","identified","https://sellerbites.com/","research/partners.md Segment I row 34. Contact route is a site form; exact URL not captured."
"I — Seller newsletters","Billion Dollar Seller Network","","","Upstream. Twice-weekly newsletter aimed at advanced Amazon sellers — audience skews to the segment most able to pay the human-reviewed tier.","sponsorship","identified","","research/partners.md Segment I row 35. The publisher's own site was not confirmed in research; the newsletter is associated with an individual whose name is deliberately not recorded here. URL and contact route both left empty — this row cannot advance to researched until a business contact page is located."
"I — Seller newsletters","Ad Badger Newsletter","https://www.adbadger.com/","","Adjacent-detect. Amazon PPC newsletter from the Ad Badger agency and software business.","content collab","identified","https://www.adbadger.com/","research/partners.md Segment I row 36. Same organization as the Ad Badger agency and The PPC Den podcast rows — one relationship, do not approach separately."
"J — Seller podcasts & YouTube","My Amazon Guy (YouTube)","https://www.youtube.com/@MyAmazonGuy","https://myamazonguy.com/contact/","Upstream. Daily Amazon seller education video content; a suspension-defense explainer episode fits the existing catalog without needing a commercial frame.","content collab","identified","https://www.youtube.com/@MyAmazonGuy","research/partners.md Segment J row 37. Same organization as the My Amazon Guy agency row in Segment B."
"J — Seller podcasts & YouTube","The Full-Time FBA Show","https://www.fulltimefba.com/the-full-time-fba-show-podcast/","https://www.fulltimefba.com/","Upstream. Long-running podcast on Amazon reseller strategies and seller stories; 300+ episodes.","sponsorship; guest interview","identified","https://www.fulltimefba.com/the-full-time-fba-show-podcast/","research/partners.md Segment J row 38. The hosts are named in the source research; no personal names are recorded here, per the ethics rule. Approach the show, through the show's own contact page."
"J — Seller podcasts & YouTube","Serious Sellers Podcast","https://helium10.podbean.com/","https://www.helium10.com/contact-us/","Adjacent-detect. Amazon seller podcast operated by Helium 10; reaches the monitoring-tool audience that has alerts but no remedy.","sponsorship; guest interview","identified","https://helium10.podbean.com/","research/partners.md Segment J row 39. Helium 10 property — same relationship as the Helium 10 row in Segment D. The number-one-podcast claim is Helium 10's own; do not repeat it as fact."
"J — Seller podcasts & YouTube","eCommerce Momentum Podcast","","","Upstream. Interviews with seven-figure Amazon, eBay and Shopify sellers.","sponsorship; guest interview","identified","","research/partners.md Segment J row 40. Found via a third-party podcast directory; the publisher's own site was not independently verified. URL and contact route left empty — locate the show's own page before this row advances to researched."
"J — Seller podcasts & YouTube","Seller Sessions","https://sellersessions.com/","https://sellersessions.com/","Upstream. Long-running Amazon FBA and private-label podcast for advanced sellers, also distributed on YouTube.","sponsorship; guest interview","identified","https://sellersessions.com/","research/partners.md Segment J row 41. Advanced-seller audience overlaps the human-reviewed tier. The host is named in the source research and is deliberately not recorded here."
"J — Seller podcasts & YouTube","The PPC Den","https://www.adbadger.com/","","Adjacent-detect. Amazon PPC advertising podcast produced by Ad Badger.","content collab","identified","https://www.adbadger.com/","research/partners.md Segment J row 42. Same organization as the Ad Badger agency and newsletter rows."
"J — Seller podcasts & YouTube","Better Advertising (Junglr podcast)","https://junglr.com/","","Upstream. PPC-strategy podcast produced by the Junglr agency.","content collab","identified","https://junglr.com/","research/partners.md Segment J row 43. Same organization as the Junglr agency row in Segment B. No host or individual is named in this repository. REVIEW CORRECTION: the podcast is not referenced on junglr.com's homepage as fetched — locate the show's own page before this row advances to researched."
"K — Founder communities (operator-level)","eComFuel","https://www.ecommercefuel.com/ecommerce-forum/","https://www.ecommercefuel.com/ecommerce-forum/","Upstream. Private paid forum for seven- and eight-figure ecommerce owners, professionally moderated. Approached at the operator level only — the forum itself prohibits ads and pitching posts.","content collab via official sponsor/partner channel","identified","https://www.ecommercefuel.com/ecommerce-forum/","research/partners.md Segment K row 44. NO MEMBER OUTREACH, EVER. This row targets the operators about a paid sponsor/partner slot, through their own published business channel. Also carried in channels.csv with posture operator-channel-only. Contact page is the forum's own page; locate the operators' business contact route before drafting."
"X — Excluded (conflict of interest)","Avenue7Media (formerly Cascadia Seller Solutions)","","","Not a partner. Recorded in Phase 3 research as listing ASIN reinstatement as a service line alongside PPC and listing management — a direct competitor for the reinstatement piece of the offer.","none","excluded","","research/partners.md exclusion table. Do not contact as a channel partner. REVIEW CORRECTION: thinkcascadia.com returned HTTP 404 and avenue7media.com returned a maintenance page, so both URL fields are now empty per the no-fabricated-data rule. The ROW IS RETAINED DELIBERATELY despite the unverifiable URL because it is a do-not-contact guard, not a prospect — deleting it would only cause the company to be rediscovered and mis-staged as a partner. Re-verify the service line before the exclusion is ever lifted."
"X — Excluded (conflict of interest)","Riverbend Consulting","","","Not a partner. Human retainer appeal firm catalogued as a direct competitor.","none","excluded","","IDEA_DOSSIER §5.1 competitor catalogue; also appears throughout demand-seo.md as a reason-code content competitor. Source is an internal document, not a fetched page — this row exists as a do-not-contact entry, not as a researched prospect."
"X — Excluded (conflict of interest)","SellerCandy","","","Not a partner. Catalogued as a direct competitor.","none","excluded","","IDEA_DOSSIER §5.1 competitor catalogue. Do-not-contact entry."
"X — Excluded (conflict of interest)","The Appeal Guru","","","Not a partner. Catalogued as a direct competitor.","none","excluded","","IDEA_DOSSIER §5.1 competitor catalogue. Do-not-contact entry."
"X — Excluded (conflict of interest)","Amazon Sellers Lawyer","","","Not a partner. Catalogued as a direct competitor and the most consistently ranking reason-code content operation found in demand research.","none","excluded","","IDEA_DOSSIER §5.1; demand-seo.md §3. Do-not-contact entry."
"X — Excluded (conflict of interest)","eCommerceChris","","","Not a partner. Catalogued as a direct competitor.","none","excluded","","IDEA_DOSSIER §5.1 competitor catalogue. Do-not-contact entry."
"X — Excluded (conflict of interest)","Seller Interactive","","","Not a partner. Catalogued as a direct competitor.","none","excluded","","IDEA_DOSSIER §5.1 competitor catalogue. Do-not-contact entry."
"X — Excluded (conflict of interest)","AppealDesk","","","Not a partner. The $97 anchor competitor the entire pricing ladder is positioned against.","none","excluded","","IDEA_DOSSIER §5.1. Flagged in the dossier (§6.1 lever 2) as a counterparty for a DIFFERENT arrangement — a referral on the categories they honestly triage away. That is a competitor-referral relationship, tracked in the dossier, deliberately not in this pipeline. Do not contact as a channel partner."
"X — Excluded (conflict of interest)","AppealDraft","","","Not a partner. AI-native appeal tool, direct competitor.","none","excluded","","IDEA_DOSSIER §5.1 competitor catalogue. Do-not-contact entry."
"X — Excluded (conflict of interest)","AppealAI","https://appealai.pro/","","Not a partner. AI-native appeal tool, direct competitor.","none","excluded","https://appealai.pro/","IDEA_DOSSIER §5.1; surfaced again in demand-seo.md §2.1 row 6. Do-not-contact entry."
"X — Excluded (conflict of interest)","PlatformAppeal","","","Not a partner. AI-native appeal tool, direct competitor.","none","excluded","","IDEA_DOSSIER §5.1 competitor catalogue. Do-not-contact entry."
"X — Excluded (conflict of interest)","ReinstateIQ / Appeal Wizard","","","Not a partner. AI-native appeal tool, direct competitor; also the reason the original codename was killed (D2).","none","excluded","","IDEA_DOSSIER §5.1, D2. Do-not-contact entry."
"X — Excluded (conflict of interest)","Mr. Jeff AMZ","https://mrjeffamz.com/","","Not a partner. Reinstatement service running a free notice classifier (Analyze My Ban) plus 15+ per-suspension-category service pages — a direct competitor on both the product and the free-tool mechanic.","none","excluded","https://mrjeffamz.com/","demand-seo.md §0.2 and §3. Newly found in Phase 3 research, not in the Phase 1 competitor tables. Do-not-contact entry."
"X — Excluded (conflict of interest)","AppealPilot","https://appealpilot.co/","","Not a partner. AI appeal service with a per-reason-code page index and a free classifier — direct competitor on the product, the Decoder mechanic and the Reason Code Index.","none","excluded","https://appealpilot.co/","demand-seo.md §0.2 and §3. Newly found in Phase 3 research. Do-not-contact entry."
"X — Excluded (conflict of interest)","AppealsPro.AI","https://appealspro.ai/","","Not a partner. AI appeal service running an account-gated Notice Analyzer — direct competitor.","none","excluded","https://appealspro.ai/","demand-seo.md §0.2 and §3. Newly found in Phase 3 research. Do-not-contact entry."
"X — Excluded (conflict of interest)","ESQgo","https://esqgo.com/","","Not a partner. Law firm running an Amazon Suspension Calculator and POA template content — competitor on both the service and the loss-counter mechanic.","none","excluded","https://esqgo.com/","demand-seo.md §3. Do-not-contact entry. Additional law-firm content competitors (DAM Law Firm, e-Cabilly, Traverse Legal and the long tail in demand-seo.md §3) are on the same footing and are excluded by the same rule without being enumerated here."
