"jurisdiction","state","regime_type","permit_fee","renewal_cadence","ordinance_or_program_url","enforcement_vendor","notes","source_url","collected_on"
"Elk Grove","California","permit","","","https://elkgrove.gov/departments-and-divisions/code-enforcement","Rentalscape","Elk Grove's 2026 short-term rental rules: the Chapter 4.38 license, permitted zoning districts, 12% lodging tax, and why Airbnb won't collect it for you.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Elk-Grove-California-guide","2026-09-03"
"Fairfield","California","permit","","","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB1154","","Fairfield, California short-term rental rules in 2026, why sub-30-day stays aren't a permitted zoning use, and what the 15% tax bill looks like anyway.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fairfield-California-guide","2026-09-03"
"Folsom","California","license","","annual","https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=BPC&amp;sectionNum=17568.6.","","Folsom, California short-term rental rules in 2026, including the three-guest cap, the 8% occupancy tax, and the zoning update that could change things.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Folsom-California-guide","2026-09-03"
"Fremont","California","permit (primary-residence limited)","","annual","https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CCP&amp;sectionNum=1094.6","Deckard","Fremont's 2026 short-term rental rules, including the no-cost primary-residence permit, the 10% occupancy tax, occupancy caps, and how the city enforces them.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fremont-California-guide","2026-09-03"
"Fresno County","California","permit","","annual","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB1154","","Unincorporated Fresno County still has no short-term rental permit in 2026, but Measure A would add a 12% county bed tax from November. Here's what hosts owe.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fresno-County-California-Guide","2026-09-03"
"Fullerton","California","permit","","","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB346","Host Compliance","Fullerton short-term rental rules for 2026, covering the STR permit freeze into 2027, licensing fees, the 10 percent occupancy tax, and enforcement.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fullerton-California-guide","2026-09-03"
"Garden Grove","California","permit","","","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB1154","Host Compliance","Garden Grove bans short-term rentals in every residential zone in 2026, with misdemeanor fines up to $1,000 a day. Here's what's still legal, and who to call.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Garden-Grove-California-guide","2026-09-03"
"Glendale","California","license","","annual","https://ecode360.com/43341842","","Glendale, California short-term rental rules for 2026, why only hosted home-sharing is legal, what the license and 12% tax cost, and how enforcement works.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Glendale-California-guide","2026-09-03"
"Joshua Tree","California","permit","$1,144","every year","https://codelibrary.amlegal.com/codes/sanbernardino/latest/sanberncty_ca/0-0-0-150741","","How Joshua Tree short-term rentals work in 2026: the San Bernardino County permit at $1,144, the two-permit cap, a 12-guest ceiling and 7% occupancy tax. How Joshua Tree short-term rentals work in 2026: the San Bernardino County permit at $1,144, the two-permit cap, a 12-guest ceiling and 7% occupancy tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/joshua-tree-california-guide","2026-09-03"
"Lancaster","California","license","","","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB346","Avenu","Lancaster, California short-term rental rules in 2026: no dedicated STR ordinance yet, a 7% hotel tax, a business license, and a 30-day limit on ADUs.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Lancaster-California-guide","2026-09-03"
"Los Angeles","California","registration","$89","annual","https://finance.lacity.gov/sites/g/files/wph1721/files/2025-11/TOT%20Compliance%20Guide%20-%20Rev%208.26.24.pdf","","Los Angeles caps Airbnb and Vrbo to a host's own primary residence in 2026, with a 120 night annual limit, an $89 registration fee and a 14% hotel tax. Los Angeles caps Airbnb and Vrbo to a host's own primary residence in 2026, with a 120 night annual limit, an $89 registration fee and a 14% hotel tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/los-angeles-california-guide","2026-09-03"
"Los Angeles County","California","registration","$914","every year","https://file.lacounty.gov/SDSInter/bos/supdocs/196543.pdf","GovOS; MUNIRevs","Los Angeles County short-term rental rules in 2026, covering the $914 county registration, the 90-night unhosted cap, the 12% bed tax, and who has to pay it. Los Angeles County short-term rental rules in 2026, covering the $914 county registration, the 90-night unhosted cap, the 12% bed tax, and who has to pay it.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Los-Angeles-County-California-Guide","2026-09-03"
"Napa","California","permit","","annual","https://ecode360.com/43397584","Host Compliance","Napa, California short-term rental rules in 2026, why every vacation rental permit is issued and waitlisted, and what the 13% lodging tax costs hosts.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Napa-California-guide","2026-09-03"
"Oceanside","California","permit","$250","annual","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB1318","GovOS; MUNIRevs","Oceanside's 2026 short-term rental rules: the $250 permit, the 480-unit coastal cap still awaiting state sign-off, taxes, and real enforcement numbers. Oceanside's 2026 short-term rental rules: the $250 permit, the 480-unit coastal cap still awaiting state sign-off, taxes, and real enforcement numbers.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Oceanside-California-guide","2026-09-03"
"Palm Springs","California","registration","$1,046","annually","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB1154","GovOS; MUNIRevs","One certificate per person, 26 or 36 rental contracts a year depending on when you applied, $1,046 annually, and no new certificates in neighborhoods already at 20% vacation rentals. Palm Springs short-term rental rules in 2026, including the vacation rental certificate, the 20% neighborhood cap, contract limits, and the taxes you collect.","https://www.bnbcalc.com/blog/short-term-rental-regulation/palm-springs-california-guide","2026-09-03"
"Pasadena","California","permit (primary-residence limited)","$123","annual","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB346","Avenu","Pasadena short-term rental rules in 2026: the $123 primary-residence permit, combined 17% TOT and TBID tax, and why whole-home vacation rentals stay banned. Pasadena short-term rental rules in 2026: the $123 primary-residence permit, combined 17% TOT and TBID tax, and why whole-home vacation rentals stay banned.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Pasadena-California-guide","2026-09-03"
"Richmond","California","no permit (tax registration only)","","annual","https://etrakit.ci.richmond.ca.us/","","Richmond, California short-term rental rules for 2026: the business license and home occupation path, the 10% lodging tax, and what stays unconfirmed.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Richmond-California-guide","2026-09-03"
"Sacramento County","California","permit (primary-residence limited)","","annual","https://311.saccounty.gov/","Rentalscape","Sacramento County's 2026 short-term rental rules for unincorporated areas: the six-month residency test, the permit, the license and a 14% tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Sacramento-County-California-Guide","2026-09-03"
"San Diego","California","license","","","https://data.sandiego.gov/datasets/stro-licenses/","","San Diego short-term rental rules in 2026: the four STRO license tiers, what each costs, why Mission Beach is closed, and the new zoned hotel tax rates.","https://www.bnbcalc.com/blog/short-term-rental-regulation/san-diego-california-guide","2026-09-03"
"San Diego County","California","no permit (tax registration only)","","","https://docs.sandiego.gov/municode/MuniCodeChapter03/Ch03Art05Division01.pdf","","San Diego County short-term rental rules in 2026: no permit in the unincorporated county, a capped STRO license inside the city, and 8% to 13.75% tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/San-Diego-County-California-Guide","2026-09-03"
"San Francisco","California","registration","$925","annually","https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_admin/0-0-0-27937","Avenu","San Francisco short-term rental rules in 2026, covering who can register, the 90 night unhosted cap, the $925 certificate, and every tax on a guest's bill. San Francisco short-term rental rules in 2026, covering who can register, the 90 night unhosted cap, the $925 certificate, and every tax on a guest's bill.","https://www.bnbcalc.com/blog/short-term-rental-regulation/san-francisco-california-guide","2026-09-03"
"San Francisco County","California","registration","$925","two-year","https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&amp;sectionNum=36900.","Avenu","San Francisco short-term rental rules in 2026: why only your primary residence qualifies, the 90-night un-hosted cap, the $925 certificate, and the 14% tax. San Francisco short-term rental rules in 2026: why only your primary residence qualifies, the 90-night un-hosted cap, the $925 certificate, and the 14% tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/San-Francisco-County-California-Guide","2026-09-03"
"Santa Barbara","California","license","","annually","https://documents.coastal.ca.gov/assets/la/Short_Term_Vacation_Rental_to_Coastal_Planning_&amp;_Devt_Directors_120616.pdf","","Santa Barbara's 2026 short-term rental rules: which zones still allow Airbnb, the 14% tax stack, and the citywide ordinance headed for a vote this fall.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Santa-Barbara-California-guide","2026-09-03"
"Santa Monica","California","permit (primary-residence limited)","","annual","https://documents.coastal.ca.gov/assets/la/Short_Term_Vacation_Rental_to_Coastal_Planning_&amp;_Devt_Directors_120616.pdf","","Santa Monica short-term rental rules in 2026, including the home-sharing permit, the 17% lodging tax, and why whole-unit Airbnb stays are still illegal.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Santa-Monica-California-guide","2026-09-03"
"Sonoma County","California","ban / prohibited","","annual","https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=BPC&amp;sectionNum=17568.8.","Avenu","How Sonoma County caps, excludes, and licenses vacation rentals in 2026, plus the permit steps, the 12% TOT, and the property-manager rule you can't skip.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Sonoma-County-California-Guide","2026-09-03"
"South Lake Tahoe","California","license","","annual","","","South Lake Tahoe, California Short Term Rental Regulations Guide for Airbnb hosts South Lake Tahoe, California Regulations > California > South Lake Tahoe Want to see how South Lake Tahoe compares to other top cities in California ? Explore all city regulations in California . → C South Lake Tahoe , CA Challenging To Investors License support Talk to a local licensing expert Get connected with a s","https://strprofitmap.com/regulations/CA/south-lake-tahoe","2026-09-03"
"Ventura County","California","permit","$1,525","annually","https://codelibrary.amlegal.com/codes/oxnard/latest/oxnard_ca/0-0-0-80931","Avenu","Unincorporated Ventura County allows short-term rentals in the coastal zone with a Temporary Rental Unit permit costing $1,525 a year, but bans them in the Ojai Valley overlay unless your home is a designated landmark. Ventura County short-term rental rules in 2026, covering the county TRU permit, the 8% county bed tax, Ojai's ban, and Ventura's frozen permit list.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Ventura-County-California-Guide","2026-09-03"
"Arapahoe County","Colorado","license","$200","annual","https://arapahoeco.gov/your_county/county_departments/public_works_and_development/short-term_rental_regulations_and_application.php","","The license costs $200 to apply plus $350 a year, and the county's incorporated cities set their own separate rules. Unincorporated Arapahoe County started licensing short-term rentals in June 2026, and it now has to be your home. Here's the 2026 rulebook for hosts.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Araphoe-County-Colorado-Guide","2026-09-03"
